                                                 9,0 | 7,7        = PLAYER_WIN | (NO BET)
                                           (5,Q)5,10 | 4,2        = BANKER_WIN | (NO BET)
                                                 4,5 | 7,8        = PLAYER_WIN | (NO BET)
                                           (10,5)5,9 | 7,7        = TIE        | (NO BET)
                                           (A,10)1,3 | (K,K)0,7   = BANKER_WIN | (NO BET)
                                                 3,8 | 3,5        = BANKER_WIN | (NO BET)
                                                 6,0 | (9,2)1,K   = PLAYER_WIN | (NO BET)
                                            (5,K)5,Q | (10,10)0,3 = PLAYER_WIN | (NO BET)
                                            (J,J)0,4 | (4,8)2,8   = PLAYER_WIN | (NO BET)
                                           (J,10)0,3 | (4,J)4,9   = TIE        | (BET) BANKER_WIN
                                            (2,J)2,A | (A,9)0,4   = BANKER_WIN | (NO BET)
                                           (10,5)5,4 | 8,2        = PLAYER_WIN | (NO BET)
                                                 7,0 | 9,0        = BANKER_WIN | (NO BET)
                                            (J,J)0,3 | (8,5)3,3   = BANKER_WIN | (NO BET)
                                                 0,9 | 7,2        = TIE        | (NO BET)
                                                 0,8 | 6,9        = PLAYER_WIN | (NO BET)
                                            (3,8)1,5 | 7,0        = BANKER_WIN | (NO BET)
                                           (10,K)0,5 | (7,6)3,3   = BANKER_WIN | (NO BET)
                                                 9,6 | 0,9        = BANKER_WIN | (NO BET)
                                            (2,J)2,K | 0,6        = BANKER_WIN | (BET) PLAYER_WIN
                                                 0,0 | 8,0        = BANKER_WIN | (BET) PLAYER_WIN
                                            (Q,A)1,A | (Q,2)2,Q   = TIE        | (BET) PLAYER_WIN
                                                 6,0 | 0,8        = BANKER_WIN | (NO BET)
                                                 9,0 | 0,0        = PLAYER_WIN | (NO BET)
                                            (K,J)0,5 | (2,A)3,5   = BANKER_WIN | (NO BET)
                                            (2,9)1,9 | 5,0        = BANKER_WIN | (NO BET)
                                           (A,2)3,10 | (3,K)3,10  = TIE        | (NO BET)
                                            (A,J)1,A | 9,6        = BANKER_WIN | (NO BET)
                                                 3,5 | 7,3        = PLAYER_WIN | (NO BET)
                                                 4,3 | (3,K)3,6   = BANKER_WIN | (NO BET)
                                                 6,7 | 4,4        = BANKER_WIN | (NO BET)
                                                 1,8 | 2,7        = TIE        | (NO BET)
                                                 7,0 | (8,4)2,K   = PLAYER_WIN | (NO BET)
                                           (J,K)0,10 | (4,9)3,3   = BANKER_WIN | (NO BET)
                                                 6,0 | 0,9        = BANKER_WIN | (NO BET)
                                            (9,3)2,8 | 5,1        = BANKER_WIN | (NO BET)
                                                 9,0 | 8,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 4,0 | 2,6        = BANKER_WIN | (NO BET)
                                           (10,3)3,7 | 3,2        = BANKER_WIN | (NO BET)
                                            (5,7)2,A | (4,Q)4,3   = BANKER_WIN | (NO BET)
                                                 3,4 | (8,2)0,A   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 0,8 | 0,0        = PLAYER_WIN | (NO BET)
                                                     卡用完了，重新初始化!
                                            (7,7)4,2 | (6,7)3,10  = PLAYER_WIN | (NO BET)
                                            (Q,Q)0,K | 5,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (5,8)3,5 | 0,5        = PLAYER_WIN | (NO BET)
                                                 6,0 | (9,3)2,A   = PLAYER_WIN | (NO BET)
                                                 0,9 | 1,3        = PLAYER_WIN | (NO BET)
                                            (2,J)2,5 | (4,A)5,A   = PLAYER_WIN | (BET) BANKER_WIN
                                            (K,J)0,8 | 2,0        = PLAYER_WIN | (BET) BANKER_WIN
                                            (A,4)5,9 | 0,5        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                           (6,5)1,10 | 6,1        = BANKER_WIN | (NO BET)
                                                 3,4 | (J,2)2,2   = PLAYER_WIN | (NO BET)
                                                 5,2 | 8,9        = TIE        | (NO BET)
                                            (3,2)5,6 | (K,A)1,4   = BANKER_WIN | (NO BET)
                                                 2,4 | 4,2        = TIE        | (NO BET)
                                                 2,4 | (A,2)3,10  = PLAYER_WIN | (NO BET)
                                                 1,5 | 8,1        = BANKER_WIN | (NO BET)
                                           (10,Q)0,Q | (6,5)1,7   = BANKER_WIN | (NO BET)
                                                 8,8 | (K,J)0,10  = PLAYER_WIN | (NO BET)
                                            (K,Q)0,7 | (J,2)2,4   = PLAYER_WIN | (NO BET)
                                                 8,0 | 5,0        = PLAYER_WIN | (NO BET)
                                            (4,J)4,A | 6,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (5,K)5,8 | 3,3        = BANKER_WIN | (NO BET)
                                                 0,6 | 1,7        = BANKER_WIN | (NO BET)
                                                 7,0 | (5,J)5,6   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 3,5 | 0,7        = PLAYER_WIN | (NO BET)
                                            (7,3)0,A | (5,8)3,K   = BANKER_WIN | (NO BET)
                                                 1,1 | 5,4        = BANKER_WIN | (NO BET)
                                            (K,J)0,K | (Q,K)0,K   = TIE        | (NO BET)
                                                 0,8 | 6,0        = PLAYER_WIN | (NO BET)
                                                 9,8 | 8,8        = PLAYER_WIN | (NO BET)
                                            (5,6)1,6 | 3,4        = TIE        | (NO BET)
                                                 9,0 | 0,3        = PLAYER_WIN | (NO BET)
                                                 7,0 | 7,0        = TIE        | (NO BET)
                                            (9,5)4,3 | (4,J)4,A   = PLAYER_WIN | (NO BET)
                                                 3,5 | 9,0        = BANKER_WIN | (NO BET)
                                                 9,3 | 9,0        = BANKER_WIN | (NO BET)
                                           (10,Q)0,2 | (Q,A)1,Q   = PLAYER_WIN | (NO BET)
                                                 0,9 | 0,3        = PLAYER_WIN | (NO BET)
                                                 0,8 | 2,0        = PLAYER_WIN | (NO BET)
                                            (Q,A)1,7 | 4,0        = PLAYER_WIN | (BET) BANKER_WIN
                                                 4,4 | 0,1        = PLAYER_WIN | (BET) BANKER_WIN
                                           (J,10)0,4 | (9,2)1,K   = PLAYER_WIN | (BET) BANKER_WIN
                                                 7,0 | 6,0        = PLAYER_WIN | (BET) BANKER_WIN
                                                 0,6 | 6,0        = TIE        | (BET) BANKER_WIN
                                            (4,J)4,Q | 0,4        = TIE        | (NO BET)
                                            (7,8)5,J | 7,0        = BANKER_WIN | (NO BET)
                                            (4,K)4,8 | (3,8)1,A   = TIE        | (NO BET)
                                                 8,0 | 7,8        = PLAYER_WIN | (NO BET)
                                            (A,9)0,6 | (K,J)0,6   = TIE        | (NO BET)
                                            (5,5)0,9 | 2,0        = PLAYER_WIN | (NO BET)
                                            (2,K)2,3 | (10,3)3,8  = PLAYER_WIN | (NO BET)
                                                 0,7 | (K,K)0,J   = PLAYER_WIN | (NO BET)
                                                 9,7 | 4,4        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (5,5)0,2 | 2,4        = BANKER_WIN | (NO BET)
                                                 5,3 | 0,1        = PLAYER_WIN | (NO BET)
                                                 5,3 | 3,3        = PLAYER_WIN | (NO BET)
                                                 6,0 | (9,6)5,8   = PLAYER_WIN | (NO BET)
                                                 0,7 | (Q,10)0,2  = PLAYER_WIN | (BET) BANKER_WIN
                                                 8,8 | (10,4)4,2  = TIE        | (BET) BANKER_WIN
                                            (5,7)2,9 | 4,0        = BANKER_WIN | (NO BET)
                                            (2,9)1,K | (3,8)1,9   = PLAYER_WIN | (NO BET)
                                           (5,Q)5,10 | (Q,3)3,8   = PLAYER_WIN | (NO BET)
                                                 3,3 | (8,6)4,J   = PLAYER_WIN | (NO BET)
                                            (8,6)4,9 | (6,4)0,2   = PLAYER_WIN | (BET) BANKER_WIN
                                            (6,6)2,5 | 5,2        = TIE        | (BET) BANKER_WIN
                                           (7,4)1,10 | 0,7        = BANKER_WIN | (NO BET)
                                            (2,A)3,2 | (A,2)3,7   = PLAYER_WIN | (NO BET)
                                                 0,0 | 3,6        = BANKER_WIN | (NO BET)
                                                 8,0 | 0,9        = BANKER_WIN | (NO BET)
                                                 9,7 | (K,5)5,8   = PLAYER_WIN | (NO BET)
                                                 9,0 | 0,3        = PLAYER_WIN | (NO BET)
                                                 9,9 | 4,0        = PLAYER_WIN | (NO BET)
                                           (10,J)0,3 | (6,8)4,6   = PLAYER_WIN | (BET) BANKER_WIN
                                           (J,10)0,3 | (10,2)2,7  = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (4,J)4,3 | (A,2)3,8   = PLAYER_WIN | (NO BET)
                                                 1,0 | 6,2        = BANKER_WIN | (NO BET)
                                                 0,0 | 9,9        = BANKER_WIN | (NO BET)
                                            (7,7)4,4 | 1,3        = PLAYER_WIN | (NO BET)
                                           (A,10)1,7 | 0,6        = PLAYER_WIN | (NO BET)
                                            (7,6)3,9 | (4,7)1,9   = PLAYER_WIN | (NO BET)
                                            (K,J)0,A | (A,2)3,A   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (2,9)1,9 | (Q,K)0,K   = TIE        | (NO BET)
                                           (4,8)2,10 | (9,4)3,A   = BANKER_WIN | (NO BET)
                                                 0,0 | 3,5        = BANKER_WIN | (NO BET)
                                            (5,6)1,7 | 0,6        = PLAYER_WIN | (NO BET)
                                                     卡用完了，重新初始化!
                                            (7,7)4,3 | (K,Q)0,5   = PLAYER_WIN | (NO BET)
                                            (2,2)4,J | (6,5)1,2   = PLAYER_WIN | (NO BET)
                                            (A,9)0,4 | (K,Q)0,7   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (A,4)5,8 | (A,K)1,5   = BANKER_WIN | (NO BET)
                                                 8,1 | 6,7        = PLAYER_WIN | (NO BET)
                                            (7,3)0,4 | (5,5)0,Q   = PLAYER_WIN | (NO BET)
                                                 5,1 | (5,10)5,2  = BANKER_WIN | (NO BET)
                                            (A,4)5,A | (6,5)1,3   = PLAYER_WIN | (NO BET)
                                                 0,2 | 3,6        = BANKER_WIN | (NO BET)
                                                 0,0 | 7,2        = BANKER_WIN | (NO BET)
                                                 6,9 | 9,0        = BANKER_WIN | (NO BET)
                                                 0,9 | 3,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 3,2 | 8,0        = BANKER_WIN | (NO BET)
                                                 8,1 | 0,6        = PLAYER_WIN | (NO BET)
                                            (J,K)0,9 | 0,1        = PLAYER_WIN | (NO BET)
                                                 0,8 | 0,2        = PLAYER_WIN | (NO BET)
                                            (4,J)4,Q | (J,K)0,6   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 1,7 | 9,2        = PLAYER_WIN | (NO BET)
                                            (A,9)0,K | 0,5        = BANKER_WIN | (NO BET)
                                                 5,3 | 5,2        = PLAYER_WIN | (NO BET)
                                                 1,8 | 4,9        = PLAYER_WIN | (NO BET)
                                            (K,4)4,J | (3,10)3,5  = BANKER_WIN | (NO BET)
                                                 7,9 | (3,2)5,8   = PLAYER_WIN | (NO BET)
                                            (5,8)3,5 | 2,4        = PLAYER_WIN | (NO BET)
                                                 2,9 | 0,8        = BANKER_WIN | (NO BET)
                                            (9,3)2,4 | (10,3)3,J  = PLAYER_WIN | (NO BET)
                                            (K,A)1,K | (A,A)2,A   = BANKER_WIN | (NO BET)
                                            (3,2)5,4 | 0,1        = PLAYER_WIN | (NO BET)
                                           (10,Q)0,Q | 7,0        = BANKER_WIN | (NO BET)
                                            (J,3)3,6 | 6,6        = PLAYER_WIN | (NO BET)
                                            (J,A)1,2 | 7,0        = BANKER_WIN | (NO BET)
                                                 1,8 | 6,6        = PLAYER_WIN | (NO BET)
                                                 7,0 | 0,9        = BANKER_WIN | (NO BET)
                                            (K,4)4,Q | (10,Q)0,2  = PLAYER_WIN | (NO BET)
                                                 0,9 | 9,2        = PLAYER_WIN | (NO BET)
                                                 0,9 | 3,1        = PLAYER_WIN | (NO BET)
                                            (Q,4)4,3 | (5,7)2,7   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 1,0 | 2,7        = BANKER_WIN | (NO BET)
                                            (8,5)3,K | 6,0        = BANKER_WIN | (NO BET)
                                                 0,6 | 0,9        = BANKER_WIN | (BET) PLAYER_WIN
                                            (5,8)3,4 | 0,7        = TIE        | (BET) PLAYER_WIN
                                            (7,5)2,2 | (Q,Q)0,A   = PLAYER_WIN | (NO BET)
                                                 2,4 | 8,1        = BANKER_WIN | (NO BET)
                                                 0,6 | (9,4)3,6   = BANKER_WIN | (NO BET)
                                                 0,0 | 9,0        = BANKER_WIN | (NO BET)
                                                 5,1 | (6,8)4,6   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (2,K)2,J | 7,0        = BANKER_WIN | (NO BET)
                                           (K,10)0,J | (4,9)3,A   = BANKER_WIN | (NO BET)
                                            (J,3)3,2 | (J,J)0,4   = PLAYER_WIN | (NO BET)
                                            (A,K)1,5 | 7,0        = BANKER_WIN | (NO BET)
                                            (J,K)0,K | (Q,3)3,8   = BANKER_WIN | (NO BET)
                                            (4,7)1,8 | 7,7        = PLAYER_WIN | (NO BET)
                                                 0,3 | 4,5        = BANKER_WIN | (NO BET)
                                                 8,0 | 9,8        = PLAYER_WIN | (NO BET)
                                           (7,8)5,10 | (7,5)2,A   = PLAYER_WIN | (NO BET)
                                            (3,Q)3,6 | 2,8        = PLAYER_WIN | (NO BET)
                                            (7,5)2,Q | (10,A)1,6  = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,1 | 1,7        = BANKER_WIN | (NO BET)
                                                 4,4 | 6,7        = PLAYER_WIN | (NO BET)
                                            (6,8)4,9 | (8,3)1,J   = PLAYER_WIN | (NO BET)
                                                 7,0 | (10,4)4,2  = PLAYER_WIN | (NO BET)
                                                 6,3 | 4,2        = PLAYER_WIN | (BET) BANKER_WIN
                                                 7,6 | 5,3        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (2,8)0,9 | 3,3        = PLAYER_WIN | (NO BET)
                                                 7,0 | 7,0        = TIE        | (NO BET)
                                            (4,9)3,J | (Q,3)3,2   = BANKER_WIN | (NO BET)
                                            (4,J)4,6 | (10,10)0,Q = TIE        | (NO BET)
                                          (10,J)0,10 | (10,J)0,6  = BANKER_WIN | (NO BET)
                                                 7,0 | (K,K)0,5   = PLAYER_WIN | (NO BET)
                                                 0,4 | 2,6        = BANKER_WIN | (NO BET)
                                            (Q,K)0,3 | (K,4)4,9   = TIE        | (NO BET)
                                            (2,3)5,6 | (10,4)4,4  = BANKER_WIN | (NO BET)
                                            (J,5)5,J | (3,K)3,5   = BANKER_WIN | (NO BET)
                                            (5,6)1,3 | 6,1        = BANKER_WIN | (NO BET)
                                            (5,K)5,5 | (8,2)0,7   = BANKER_WIN | (BET) PLAYER_WIN
                                                 9,0 | 0,2        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 0,8 | 5,9        = PLAYER_WIN | (NO BET)
                                                 9,9 | 0,0        = PLAYER_WIN | (NO BET)
                                                 0,2 | 8,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,3 | 0,8        = BANKER_WIN | (NO BET)
                                           (10,4)4,9 | 0,4        = BANKER_WIN | (NO BET)
                                                 8,4 | 9,9        = BANKER_WIN | (BET) PLAYER_WIN
                                                 6,0 | (5,9)4,8   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (3,J)3,8 | 0,3        = BANKER_WIN | (NO BET)
                                                 7,1 | 8,8        = PLAYER_WIN | (NO BET)
                                                     卡用完了，重新初始化!
                                            (6,5)1,8 | 0,7        = PLAYER_WIN | (NO BET)
                                            (3,2)5,K | 1,4        = TIE        | (NO BET)
                                                 4,5 | 4,5        = TIE        | (NO BET)
                                           (Q,10)0,7 | 0,7        = TIE        | (NO BET)
                                                 6,0 | (8,3)1,2   = PLAYER_WIN | (BET) BANKER_WIN
                                                 0,4 | 9,9        = BANKER_WIN | (NO BET)
                                                 9,7 | (Q,A)1,8   = BANKER_WIN | (NO BET)
                                            (3,7)0,A | (J,A)1,K   = TIE        | (NO BET)
                                            (5,K)5,5 | (Q,2)2,J   = BANKER_WIN | (NO BET)
                                           (K,5)5,10 | (3,7)0,J   = PLAYER_WIN | (NO BET)
                                                 0,6 | (4,K)4,A   = PLAYER_WIN | (NO BET)
                                                 3,0 | 3,6        = BANKER_WIN | (NO BET)
                                            (2,J)2,7 | 5,2        = PLAYER_WIN | (NO BET)
                                           (6,9)5,10 | (6,7)3,7   = PLAYER_WIN | (NO BET)
                                           (2,10)2,5 | (3,10)3,8  = PLAYER_WIN | (NO BET)
                                                 5,1 | 9,8        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                           (J,10)0,9 | 5,6        = PLAYER_WIN | (NO BET)
                                                 3,3 | 8,0        = BANKER_WIN | (NO BET)
                                           (10,J)0,4 | 6,0        = BANKER_WIN | (NO BET)
                                            (A,Q)1,J | (K,J)0,Q   = PLAYER_WIN | (NO BET)
                                            (9,A)0,9 | 6,6        = PLAYER_WIN | (NO BET)
                                            (4,J)4,6 | (2,8)0,A   = BANKER_WIN | (NO BET)
                                                 1,7 | 2,9        = PLAYER_WIN | (NO BET)
                                            (2,9)1,Q | (2,10)2,A  = BANKER_WIN | (NO BET)
                                                 0,9 | 7,4        = PLAYER_WIN | (NO BET)
                                                 8,9 | (9,5)4,6   = PLAYER_WIN | (NO BET)
                                                 6,2 | 0,0        = PLAYER_WIN | (NO BET)
                                            (9,2)1,9 | 4,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                           (A,10)1,5 | (2,K)2,7   = BANKER_WIN | (NO BET)
                                            (6,8)4,J | (K,A)1,3   = TIE        | (NO BET)
                                                 1,6 | (5,10)5,2  = TIE        | (NO BET)
                                            (6,6)2,K | 0,7        = BANKER_WIN | (NO BET)
                                           (6,8)4,10 | (5,5)0,8   = BANKER_WIN | (NO BET)
                                                 0,7 | 3,3        = PLAYER_WIN | (NO BET)
                                            (4,7)1,J | 1,3        = BANKER_WIN | (NO BET)
                                            (9,2)1,9 | (K,10)0,A  = BANKER_WIN | (NO BET)
                                            (8,4)2,Q | (10,10)0,8 = BANKER_WIN | (NO BET)
                                                 2,9 | 1,7        = BANKER_WIN | (BET) PLAYER_WIN
                                            (J,2)2,J | 4,0        = BANKER_WIN | (BET) PLAYER_WIN
                                            (5,5)0,8 | 8,5        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                           (10,5)5,3 | 4,2        = PLAYER_WIN | (NO BET)
                                                 7,0 | 0,8        = BANKER_WIN | (NO BET)
                                            (3,A)4,2 | 9,7        = TIE        | (NO BET)
                                                 2,2 | 5,3        = BANKER_WIN | (NO BET)
                                            (J,K)0,A | (3,K)3,6   = BANKER_WIN | (NO BET)
                                           (Q,2)2,10 | 5,0        = BANKER_WIN | (NO BET)
                                                 0,6 | (4,Q)4,4   = BANKER_WIN | (BET) PLAYER_WIN
                                            (5,7)2,9 | 9,6        = BANKER_WIN | (BET) PLAYER_WIN
                                            (K,A)1,8 | 1,0        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 8,0 | 1,0        = PLAYER_WIN | (NO BET)
                                                 0,8 | 0,7        = PLAYER_WIN | (NO BET)
                                                 9,4 | 8,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 8,6 | 9,0        = BANKER_WIN | (NO BET)
                                            (3,Q)3,K | (6,4)0,10  = PLAYER_WIN | (NO BET)
                                                 5,1 | (3,9)2,7   = BANKER_WIN | (NO BET)
                                                 8,0 | 3,2        = PLAYER_WIN | (NO BET)
                                            (4,Q)4,4 | 0,3        = PLAYER_WIN | (NO BET)
                                                 2,5 | (6,4)0,A   = PLAYER_WIN | (NO BET)
                                                 7,0 | 8,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 1,6 | (10,A)1,Q  = PLAYER_WIN | (NO BET)
                                            (5,K)5,5 | (3,7)0,J   = TIE        | (NO BET)
                                                 0,7 | (9,5)4,K   = PLAYER_WIN | (NO BET)
                                            (Q,K)0,Q | (7,4)1,3   = BANKER_WIN | (NO BET)
                                                 0,9 | 6,0        = PLAYER_WIN | (NO BET)
                                            (8,6)4,8 | (10,2)2,9  = PLAYER_WIN | (NO BET)
                                            (J,Q)0,4 | 7,0        = BANKER_WIN | (NO BET)
                                            (2,8)0,J | (10,J)0,4  = BANKER_WIN | (NO BET)
                                                 5,1 | 7,2        = BANKER_WIN | (NO BET)
                                                 0,1 | 3,6        = BANKER_WIN | (BET) PLAYER_WIN
                                                 0,3 | 4,5        = BANKER_WIN | (BET) PLAYER_WIN
                                                 0,0 | 8,0        = BANKER_WIN | (BET) PLAYER_WIN
                                            (3,K)3,7 | (3,Q)3,4   = BANKER_WIN | (BET) PLAYER_WIN
                                            (7,5)2,8 | 7,0        = BANKER_WIN | (BET) PLAYER_WIN
                                                 4,3 | (10,A)1,K  = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 4,2 | (3,Q)3,9   = PLAYER_WIN | (NO BET)
                                                 9,0 | 6,0        = PLAYER_WIN | (NO BET)
                                            (3,9)2,Q | 6,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (8,7)5,8 | 9,4        = TIE        | (NO BET)
                                            (2,8)0,6 | (3,2)5,4   = BANKER_WIN | (NO BET)
                                            (5,K)5,7 | (10,4)4,J  = BANKER_WIN | (NO BET)
                                                 6,0 | (Q,J)0,2   = PLAYER_WIN | (NO BET)
                                                 9,1 | 4,5        = BANKER_WIN | (NO BET)
                                                 1,4 | 0,8        = BANKER_WIN | (NO BET)
                                                 1,0 | 6,2        = BANKER_WIN | (NO BET)
                                                     卡用完了，重新初始化!
                                            (Q,K)0,7 | (3,10)3,8  = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 8,8 | 8,0        = BANKER_WIN | (NO BET)
                                                 7,0 | 0,6        = PLAYER_WIN | (NO BET)
                                                 8,9 | 6,0        = PLAYER_WIN | (NO BET)
                                                 2,0 | 2,7        = BANKER_WIN | (NO BET)
                                                 9,0 | 0,5        = PLAYER_WIN | (NO BET)
                                                 1,0 | 1,7        = BANKER_WIN | (NO BET)
                                           (4,10)4,5 | 4,7        = PLAYER_WIN | (NO BET)
                                                 0,6 | (6,9)5,9   = PLAYER_WIN | (NO BET)
                                            (8,5)3,4 | (2,K)2,7   = BANKER_WIN | (NO BET)
                                            (Q,4)4,7 | 4,2        = BANKER_WIN | (NO BET)
                                            (3,K)3,2 | 5,0        = TIE        | (NO BET)
                                                 0,4 | 7,1        = BANKER_WIN | (NO BET)
                                            (6,8)4,K | (J,3)3,5   = BANKER_WIN | (NO BET)
                                                 0,9 | 3,7        = PLAYER_WIN | (NO BET)
                                                 0,7 | (Q,10)0,9  = BANKER_WIN | (NO BET)
                                            (9,A)0,2 | (7,4)1,9   = PLAYER_WIN | (NO BET)
                                                 6,1 | (Q,Q)0,2   = PLAYER_WIN | (NO BET)
                                                 0,5 | 5,3        = BANKER_WIN | (NO BET)
                                            (A,Q)1,2 | (3,Q)3,3   = BANKER_WIN | (NO BET)
                                                 3,4 | 2,6        = BANKER_WIN | (NO BET)
                                           (4,J)4,10 | 0,5        = BANKER_WIN | (BET) PLAYER_WIN
                                                 1,7 | 4,2        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 2,4 | (10,J)0,9  = BANKER_WIN | (NO BET)
                                           (A,Q)1,10 | (3,8)1,6   = BANKER_WIN | (NO BET)
                                            (Q,J)0,K | 9,8        = BANKER_WIN | (NO BET)
                                            (3,K)3,9 | 2,3        = BANKER_WIN | (BET) PLAYER_WIN
                                                 5,4 | 3,8        = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                                 0,8 | 6,0        = PLAYER_WIN | (NO BET)
                                                 4,3 | (A,10)1,7  = BANKER_WIN | (NO BET)
                                                 2,0 | 9,0        = BANKER_WIN | (NO BET)
                                            (9,A)0,4 | (6,6)2,2   = TIE        | (NO BET)
                                           (3,7)0,10 | (7,4)1,3   = BANKER_WIN | (NO BET)
                                           (10,J)0,8 | 9,6        = PLAYER_WIN | (NO BET)
                                                 6,0 | 3,3        = TIE        | (NO BET)
                                            (J,2)2,3 | (3,7)0,6   = BANKER_WIN | (NO BET)
                                                 0,8 | 5,8        = PLAYER_WIN | (NO BET)
                                                 0,0 | 8,0        = BANKER_WIN | (NO BET)
                                            (K,K)0,5 | 5,0        = TIE        | (NO BET)
                                                 1,8 | 0,0        = PLAYER_WIN | (NO BET)
                                            (K,K)0,6 | 6,0        = TIE        | (NO BET)
                                           (A,10)1,4 | (Q,Q)0,K   = PLAYER_WIN | (NO BET)
                                                 9,0 | 1,3        = PLAYER_WIN | (NO BET)
                                            (A,3)4,2 | (6,5)1,K   = PLAYER_WIN | (NO BET)
                                           (J,2)2,10 | 0,4        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                            (7,4)1,8 | 9,6        = PLAYER_WIN | (NO BET)
                                                 3,6 | 8,0        = PLAYER_WIN | (NO BET)
                                                 9,0 | 5,3        = PLAYER_WIN | (NO BET)
                                            (4,J)4,5 | 0,7        = PLAYER_WIN | (BET) BANKER_WIN
                                                 7,9 | (4,7)1,Q   = PLAYER_WIN | (BET) BANKER_WIN
                                                 0,5 | 8,0        = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 8,0 | 9,5        = PLAYER_WIN | (NO BET)
                                                 6,1 | 6,0        = PLAYER_WIN | (NO BET)
                                                 4,4 | 5,5        = PLAYER_WIN | (NO BET)
                                            (K,A)1,5 | (K,2)2,K   = PLAYER_WIN | (BET) BANKER_WIN
                                                 4,5 | 3,9        = PLAYER_WIN | (BET) BANKER_WIN
                                           (4,10)4,Q | 1,3        = TIE        | (BET) BANKER_WIN
                                                 6,3 | 0,0        = PLAYER_WIN | (NO BET)
                                            (9,6)5,9 | 8,9        = BANKER_WIN | (NO BET)
                                            (Q,2)2,3 | 5,0        = TIE        | (NO BET)
                                           (10,5)5,J | (Q,3)3,A   = PLAYER_WIN | (NO BET)
                                                 1,2 | 2,7        = BANKER_WIN | (NO BET)
                                            (4,J)4,5 | 5,6        = PLAYER_WIN | (NO BET)
                                                 0,9 | 5,8        = PLAYER_WIN | (NO BET)
                                                 0,7 | 8,0        = BANKER_WIN | (NO BET)
                                            (A,J)1,8 | 3,0        = PLAYER_WIN | (NO BET)
                                                 3,6 | 5,9        = PLAYER_WIN | (NO BET)
                                           (10,J)0,7 | (J,4)4,Q   = PLAYER_WIN | (NO BET)
                                           (5,6)1,10 | (A,J)1,6   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 6,3 | 8,5        = PLAYER_WIN | (NO BET)
                                           (4,10)4,3 | (7,4)1,2   = PLAYER_WIN | (NO BET)
                                                 0,8 | 0,5        = PLAYER_WIN | (NO BET)
                                                 0,7 | (2,K)2,J   = PLAYER_WIN | (BET) BANKER_WIN
                                                 8,0 | 8,6        = PLAYER_WIN | (BET) BANKER_WIN
                                            (J,Q)0,A | (Q,K)0,7   = BANKER_WIN | (BET) BANKER_WIN (HIT)
                                                 0,9 | 1,4        = PLAYER_WIN | (NO BET)
                                            (8,5)3,8 | (K,A)1,9   = PLAYER_WIN | (NO BET)
                                                 6,0 | 9,7        = TIE        | (NO BET)
                                                 3,7 | 0,9        = BANKER_WIN | (NO BET)
                                                 2,0 | 2,7        = BANKER_WIN | (NO BET)
                                                 6,1 | 7,2        = BANKER_WIN | (NO BET)
                                            (A,2)3,J | 0,4        = BANKER_WIN | (BET) PLAYER_WIN
                                                 1,5 | (9,A)0,J   = PLAYER_WIN | (BET) PLAYER_WIN (HIT)
                                            (2,A)3,2 | (2,Q)2,J   = PLAYER_WIN | (NO BET)
                                            (Q,2)2,A | 0,7        = BANKER_WIN | (NO BET)
                                            (4,7)1,A | (10,2)2,Q  = TIE        | (NO BET)
                                                 1,6 | (8,4)2,9   = PLAYER_WIN | (NO BET)
                                                     卡用完了，重新初始化!
